CT Hotel ID,Market Name
2422310,Chains
1509694,Chains
714447,Chains
1345620,Chains
1345618,Chains
1345622,Chains
1323698,Chains
1137016,Chains
1323710,Chains
1323506,Chains
1323046,Chains
1345966,Chains
1345950,Chains
1323078,Chains
1323454,Chains
1323712,Chains
1323500,Chains
1323436,Chains
1323464,Chains
1323524,Chains
1323704,Chains
1323476,Chains
1137010,Chains
1345964,Chains
1323418,Chains
1323430,Chains
1345604,Chains
40258,Chains
1360420,Chains
1358386,Chains
1509970,Chains
1358372,Chains
1509968,Chains
1510040,Chains
1510046,Chains
1312134,Chains
1326932,Chains
1328926,Chains
1326958,Chains
1326928,Chains
1326912,Chains
1326914,Chains
1324680,Chains
1326140,Chains
1328944,Chains
1328960,Chains
1327434,Chains
1328962,Chains
1328976,Chains
1329002,Chains
1328990,Chains
1327584,Chains
1327586,Chains
1328952,Chains
1328932,Chains
1331378,Chains
1328946,Chains
1328998,Chains
1331384,Chains
1331386,Chains
1330254,Chains
1329014,Chains
1353566,Chains
1328974,Chains
1331418,Chains
1331420,Chains
1331424,Chains
1331426,Chains
1331728,Chains
1331734,Chains
1331450,Chains
1331460,Chains
1331462,Chains
1331464,Chains
1331466,Chains
1331368,Chains
1331370,Chains
1331372,Chains
1338916,Chains
1342804,Chains
1331286,Chains
1353572,Chains
1339524,Chains
1340208,Chains
1341972,Chains
1342022,Chains
1353580,Chains
1353668,Chains
1353670,Chains
1353716,Chains
745764,Chains
711850,Chains
739734,Chains
867922,Chains
867930,Chains
955002,Chains
936822,Chains
955318,Chains
955264,Chains
955110,Chains
955320,Chains
955292,Chains
955112,Chains
955362,Chains
955120,Chains
955356,Chains
955272,Chains
955262,Chains
955122,Chains
1328986,Chains
1331730,Chains
1331314,Chains
1326982,Chains
1342100,Chains
1338772,Chains
956756,Chains
1326984,Chains
1326916,Chains
955000,Chains
1326934,Chains
1328978,Chains
1326978,Chains
1331732,Chains
1328948,Chains
1353574,Chains
957824,Chains
1337874,Chains
967890,Chains
40272,Chains
1358658,Chains
380293,Chains
330651,Chains
159311,Chains
377519,Chains
389936,Chains
159282,Chains
298038,Chains
379420,Chains
268900,Chains
42160,Chains
1356064,Chains
730474,Chains
957596,Chains
1326924,Chains
2047684,Chains
1326146,Chains
1327726,Chains
1331022,Chains
1331416,Chains
1331366,Chains
1331374,Chains
1331298,Chains
1353576,Chains
1353582,Chains
1353584,Chains
1353570,Chains
1353588,Chains
1353710,Chains
1353714,Chains
2047628,Chains
2047096,Chains
2047900,Chains
955332,Chains
2047100,Chains
955252,Chains
2047166,Chains
2047620,Chains
2047904,Chains
1324682,Chains
955280,Chains
2047830,Chains
2047836,Chains
955254,Chains
954998,Chains
2046920,Chains
2047600,Chains
2046914,Chains
746472,Chains
707600,Chains
707615,Chains
207080,Chains
720292,Chains
