Booking_hotel_id,Booking_hotel_url,cleartrip_hotel_id,TA_hotel_id,cthotel_name,TA_url,Booking_hotel_name,TA_city_name
2164736,https://www.booking.com/hotel/in/awtar-mansion-agra.en-gb.html,740373,1728682,Awtar Mansion - Homestay,https://www.tripadvisor.in/Hotel_Review-d1728682.html,Awtar mansion,Agra
2165395,https://www.booking.com/hotel/in/republic-patna.en-gb.html,729748,6908556,New Republic Hotel,https://www.tripadvisor.in/Hotel_Review-d6908556.html,Republic Hotel,Patna
2167109,https://www.booking.com/hotel/in/orion-residency-chennai.en-gb.html,760654,4458355,Orion Residency,https://www.tripadvisor.in/Hotel_Review-d4458355.html,Orion Residency,Chennai
2167195,https://www.booking.com/hotel/in/fafali-inn.en-gb.html,730119,6024447,Hotel Fafalia,https://www.tripadvisor.in/Hotel_Review-d6024447.html,Hotel Fafali Inn,Mumbai
2167604,https://www.booking.com/hotel/in/safari-land-resorts.en-gb.html,717825,1585671,Safari Land Farm And Guest House,https://www.tripadvisor.in/Hotel_Review-d1585671.html,Safari Land Resorts,Masinagudi
2169354,https://www.booking.com/hotel/in/the-zodiac.en-gb.html,1357174,8861021,Hotel The Zodiac,https://www.tripadvisor.in/Hotel_Review-d8861021.html,Hotel The Zodiac,Chandigarh
2170682,https://www.booking.com/hotel/in/rani-bagh-jodhpur.en-gb.html,708528,3173566,Hotel Rani Bagh,https://www.tripadvisor.in/Hotel_Review-d3173566.html,Hotel Rani Bagh Jodhpur,Jodhpur
2170688,https://www.booking.com/hotel/in/chanson-grand-westend.en-gb.html,707850,1149695,The Grand Westend-Vikaspuri,https://www.tripadvisor.in/Hotel_Review-d1149695.html,Chanson Grand Westend Hotel,New Delhi
2171188,https://www.booking.com/hotel/in/shilton-by-royal-collection-hotels.en-gb.html,387953,1204346,Hotel Shilton,https://www.tripadvisor.in/Hotel_Review-d1204346.html,Hotel Shilton By Royal Collection Hotels,Mussoorie
2173358,https://www.booking.com/hotel/in/divine-residency-by-royal-collection-hotels.en-gb.html,870666,8569022,Hotel Divine Residency By Royal Collection,https://www.tripadvisor.in/Hotel_Review-d8569022.html,Divine Residency by Royal Collection Hotels,Gurgaon
2173470,https://www.booking.com/hotel/in/kahkashan.en-gb.html,1362102,2723851,Hotel Kahkashan,https://www.tripadvisor.in/Hotel_Review-d2723851.html,Hotel Kahkashan,Mussoorie
2173805,https://www.booking.com/hotel/in/shalimar-deluxe.en-gb.html,747196,2649690,Hotel Shalimar Deluxe,https://www.tripadvisor.in/Hotel_Review-d2649690.html,Hotel Shalimar Deluxe,Bhopal
